plate,rTL,sex,date,Habitat,NID,Age (day),Age (year),SOSP brood size,total brood size,year,site,nest.para.fig,nest.para,para.comp,bhco.hab
2,0.69,male,5/1/19,Urban,09SJL19,NA,ASY,NA,NA,2019,radford,no,NA,NA,
3,0.79,female,5/1/19,Urban,07SJL19,NA,ASY,NA,NA,2019,radford,no,NA,NA,
1,0.64,female,5/9/19,Urban,03SJL21,NA,ASY,NA,NA,2019,radford,no,NA,NA,
5,0.42,male,3/30/19,Urban,02CRL19,NA,ASY,NA,NA,2019,radford,no,NA,NA,
6,0.67,female,6/2/21,Urban, 24IJV21,NA,ASY,NA,NA,2021,radford,no,NA,NA,
5,0.61,female,6/6/21,Urban,21tef21,NA,ASY,NA,NA,2021,radford,no,NA,NA,
4,0.91,male,5/4/19,Urban,03SJL19,NA,ASY,NA,NA,2019,south vt,no,NA,NA,
4,1.01,male,4/27/19,Urban,01CRL19,NA,ASY,NA,NA,2019,south vt,no,NA,NA,
3,0.7,female,5/4/19,Urban,03IJV19,NA,ASY,NA,NA,2019,south vt,no,NA,NA,
2,0.6,female,5/13/19,Urban,NA,NA,ASY,NA,NA,2019,south vt,no,NA,NA,
3,0.49,male,5/19/19,Urban,23SJL19,NA,ASY,NA,NA,2019,south vt,no,NA,NA,
3,1.03,male,6/8/22,Urban,05SJL18,NA,ASY,NA,NA,2022,south vt,no,NA,NA,
2,0.55,male,6/5/22,Urban,22SJL21,NA,ASY,NA,NA,2022,south vt,no,NA,NA,
7,0.81,female,7/12/19,Rural,32IJV19,NA,ASY,NA,NA,2019,stream,no,NA,NA,
4,0.63,female,6/23/19,Rural,60SJL19,NA,ASY,NA,NA,2019,heritage,no,NA,NA,
5,0.75,male,5/18/20,Urban,22SJL20,NA,ASY,NA,NA,2020,north vt,no,NA,NA,
4,0.66,male,5/21/19,Urban,12IJV19,NA,ASY,NA,NA,2019,north vt,no,NA,NA,
6,0.64,male,5/11/19,Urban,08IJV19,NA,ASY,NA,NA,2019,north vt,no,NA,NA,
2,0.5,female,5/18/19,Urban,08IJV19,NA,ASY,NA,NA,2019,north vt,no,NA,NA,
5,0.42,female,5/12/21,Urban,08IJV21,NA,ASY,NA,NA,2021,north vt,no,NA,NA,
3,0.65,female,5/13/19,Urban,15SJL19,NA,ASY,NA,NA,2019,radford,no,NA,NA,
3,0.46,male,3/30/19,Urban,15SJL19,NA,ASY,NA,NA,2019,radford,no,NA,NA,
2,0.59,female,6/2/21,Urban,32SJL21,NA,ASY,NA,NA,2021,radford,no,NA,NA,
4,0.5,male,5/4/19,Urban,01IJV19,NA,ASY,NA,NA,2019,south vt,no,NA,NA,
5,0.66,male,5/6/19,Urban,01CRL18,NA,ASY,NA,NA,2019,south vt,no,NA,NA,
6,0.64,male,5/4/20,Urban,04SJL20,NA,ASY,NA,NA,2020,south vt,no,NA,NA,
6,0.86,female,5/23/21,Urban,27SJL21,NA,ASY,NA,NA,2021,south vt,no,NA,NA,
6,0.79,female,5/6/21,Urban,04sjl21,NA,ASY,NA,NA,2021,south vt,no,NA,NA,
6,0.7,female,4/30/21,Urban,05IJV21,NA,ASY,NA,NA,2021,south vt,no,NA,NA,
2,0.7,NA,5/22/21,Rural,15TEF21,9,HY,4,4,2021,heritage,no,no,no,rural.no
2,0.71,NA,5/22/21,Rural,15TEF21,9,HY,4,4,2021,heritage,no,no,no,rural.no
6,0.74,NA,6/2/21,Rural,18TEF21,6,HY,4,4,2021,kentland,no,no,no,rural.no
6,0.59,NA,6/2/21,Rural,18TEF21,6,HY,4,4,2021,kentland,no,no,no,rural.no
6,0.58,NA,6/2/21,Rural,18TEF21,6,HY,4,4,2021,kentland,no,no,no,rural.no
7,0.68,NA,6/18/21,Rural,29IJV21,6,HY,2,2,2021,kentland,no,no,no,rural.no
7,0.95,NA,6/18/21,Rural,29IJV21,6,HY,2,2,2021,kentland,no,no,no,rural.no
6,0.9,NA,5/19/22,Rural,14TEF21,9,HY,4,4,2021,kentland,no,no,no,rural.no
6,0.99,NA,5/19/22,Rural,14TEF21,9,HY,4,4,2021,kentland,no,no,no,rural.no
4,0.52,NA,6/11/22,Rural,20TEF22,9,HY,3,3,2022,kentland,no,no,no,rural.no
4,0.71,NA,6/11/22,Rural,20TEF22,9,HY,3,3,2022,kentland,no,no,no,rural.no
4,0.86,NA,6/11/22,Rural,20TEF22,9,HY,3,3,2022,kentland,no,no,no,rural.no
5,1.1,male,7/1/19,Rural,53SJL19,6,HY,4,4,2019,stream,no,no,no,rural.no
5,0.58,female,7/1/19,Rural,53SJL19,6,HY,4,4,2019,stream,no,no,no,rural.no
5,0.74,male,7/1/19,Rural,53SJL19,6,HY,4,4,2019,stream,no,no,no,rural.no
5,0.66,male,7/1/19,Rural,53SJL19,6,HY,4,4,2019,stream,no,no,no,rural.no
6,0.65,male,7/3/19,Rural,59SJL19,6,HY,4,4,2019,stream,no,no,no,rural.no
4,0.6,NA,7/22/22,Rural,10CMT22,6,HY,3,3,2022,stream,no,no,no,rural.no
5,0.47,NA,6/30/19,Rural,46SJL19,7,HY,4,4,2019,stream,no,no,no,rural.no
3,0.58,male,6/28/19,Rural,45SJL19,7,HY,3,3,2019,stream,no,no,no,rural.no
